1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.760147	0.000000	263.474652	0.015914	310.5
1	-0.720831	0.000000	263.474652	0.034225	3.3
2	-0.583439	1.000000	251.498532	0.027220	3.3
3	-0.709328	2.000000	240.563813	0.024429	3.3
4	-0.669430	3.000000	230.540321	0.030357	3.3
5	-0.644658	4.000000	221.318708	0.026161	3.2
6	-0.720014	5.000000	212.806450	0.027820	3.4
7	-0.636595	6.000000	204.924730	0.029229	3.3
8	-0.693693	7.000000	197.605989	0.034022	3.1
9	-0.634184	8.000000	190.791990	0.035177	3.6
10	-0.661382	9.000000	184.432257	0.032656	3.2
11	-0.664038	10.000000	178.482829	0.032190	3.2
12	-0.652307	11.000000	172.905241	0.029303	3.2
13	-0.728791	12.000000	167.665688	0.029707	3.3
14	-0.713469	13.000000	162.734344	0.029798	3.2
15	-0.685396	14.000000	158.084791	0.029213	3.2
16	-0.685650	15.000000	153.693547	0.031906	3.3
17	-0.695841	16.000000	149.539668	0.035135	3.3
18	-0.681027	17.000000	145.604413	0.034880	3.7
19	-0.723184	18.000000	141.870967	0.033632	3.1
20	-0.677289	19.000000	138.324193	0.031280	3.3
21	-0.739883	20.000000	134.950432	0.038198	3.3
22	-0.629295	21.000000	131.737326	0.042834	3.9
23	-0.721826	22.000000	128.673667	0.033519	3.3
24	-0.713253	23.000000	125.749266	0.034577	3.3
25	-0.688029	24.000000	122.954838	0.028144	3.1
26	-0.714010	25.000000	120.281907	0.024271	3.3
27	-0.694321	26.000000	117.722717	0.034328	3.2
28	-0.702463	27.000000	115.270160	0.038777	3.2
29	-0.665562	28.000000	112.917708	0.036734	3.4
30	-0.680909	29.000000	110.659354	0.035861	3.2
31	-0.683190	30.000000	108.489563	0.040585	3.5
32	-0.706795	31.000000	106.403225	0.041632	3.2
33	-0.702529	32.000000	104.395617	0.036366	3.2
34	-0.737137	33.000000	102.462365	0.030392	3.2
35	-0.735842	34.000000	100.599413	0.040385	3.7
36	-0.683644	35.000000	98.802995	0.026358	3.9
37	-0.748296	36.000000	97.069609	0.024375	3.9
38	-0.723712	35.688067	97.603746	0.028275	3.3
39	-0.758255	36.688067	95.911824	0.026188	3.2
40	-0.690022	37.688067	94.277559	0.032228	3.2
41	-0.715766	38.688067	92.698055	0.033679	3.4
42	-0.673329	39.688067	91.170604	0.031173	3.3
43	-0.718484	40.688067	89.692674	0.033525	3.3
44	-0.721354	41.688067	88.261897	0.034649	3.2
