1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.365739	0.000000	39.377268	0.008250	254.1
1	-1.323618	0.000000	39.377268	0.020986	3.9
2	-1.366014	1.000000	37.587392	0.035586	3.3
3	-1.335823	2.000000	35.953158	0.044112	3.5
4	-1.361028	3.000000	34.455110	0.045585	3.3
5	-1.354455	4.000000	33.076905	0.040777	4.1
6	-1.383359	5.000000	31.804717	0.050147	3.2
7	-1.329566	6.000000	30.626764	0.054062	3.2
8	-1.355286	7.000000	29.532951	0.044770	3.4
9	-1.384246	8.000000	28.514574	0.040843	3.3
10	-1.381856	9.000000	27.564088	0.032337	3.5
11	-1.343321	10.000000	26.674924	0.026467	3.3
12	-1.372756	11.000000	25.841332	0.021596	3.2
13	-1.385426	12.000000	25.058262	0.014325	3.5
14	-1.344079	13.000000	24.321254	0.011021	3.4
15	-1.380443	14.000000	23.626361	0.015342	3.8
16	-1.382080	15.000000	22.970073	0.023951	3.3
17	-1.412714	16.000000	22.349260	0.022744	3.5
18	-1.360631	17.000000	21.761122	0.014219	4.1
19	-1.381720	18.000000	21.203144	0.015446	3.5
20	-1.378201	19.000000	20.673066	0.013552	3.4
21	-1.387823	20.000000	20.168845	0.017297	3.2
22	-1.339195	21.000000	19.688634	0.012054	3.8
23	-1.356557	22.000000	19.230759	0.004257	3.4
24	-1.360658	21.977098	19.241007	0.004446	3.3
25	-1.364623	21.966578	19.245718	0.004448	3.3
26	-1.356090	21.958224	19.249461	0.004512	3.3
27	-1.374356	22.701940	18.921875	0.006924	3.2
28	-1.345136	22.679039	18.931795	0.015013	3.2
29	-1.335974	23.679039	18.508067	0.015067	3.2
30	-1.399001	24.679039	18.102890	0.012178	4.0
31	-1.354576	25.679039	17.715074	0.008405	3.5
32	-1.346161	26.679039	17.343526	0.004006	3.3
33	-1.375415	26.656145	17.351857	0.009134	3.9
34	-1.364836	27.640364	17.000749	0.002527	3.3
35	-1.371033	27.617705	17.008673	0.006867	3.4
36	-1.388554	28.324910	16.764808	0.009168	3.3
37	-1.368422	29.324910	16.431676	0.003496	3.6
38	-1.391361	29.302312	16.439058	0.005307	3.4
39	-1.355365	30.244804	16.136712	0.003448	3.5
40	-1.361526	30.429670	16.078708	0.009744	3.3
41	-1.370615	30.406768	16.085871	0.008079	3.4
42	-1.360981	31.406754	15.778932	0.010834	3.6
